Orthogroup	Duplications (all)	Duplications (50% support)
OG0000488	3	3
OG0000489	3	3
OG0000490	3	3
OG0000491	3	3
OG0000492	3	3
OG0000493	3	3
OG0000494	3	3
OG0000495	3	3
OG0000496	3	3
OG0000497	3	3
OG0000498	3	3
OG0000499	3	3
OG0000500	3	3
OG0000501	3	3
OG0000502	3	3
OG0000503	3	3
OG0000504	3	3
OG0000505	3	3
OG0000506	3	3
OG0000507	3	3
OG0000508	3	3
OG0000509	3	3
OG0000510	3	3
OG0000511	3	3
OG0000512	3	3
OG0000513	3	3
OG0000514	3	3
OG0000515	3	3
OG0000516	3	3
OG0000517	3	3
OG0000518	3	3
OG0000519	3	3
OG0000520	3	3
OG0000521	3	3
OG0000522	3	3
OG0000523	3	3
OG0000524	3	3
OG0000525	3	3
OG0000526	3	3
OG0000527	3	3
OG0000528	3	3
OG0000529	3	3
OG0000530	3	3
OG0000531	3	3
OG0000532	3	3
OG0000533	3	3
OG0000534	3	3
OG0000535	3	3
OG0000536	3	3
OG0000537	3	3
OG0000538	3	3
OG0000539	3	3
OG0000540	3	3
OG0000541	3	3
OG0000542	3	3
OG0000543	3	3
OG0000544	3	3
OG0000545	3	3
OG0000546	3	3
OG0000547	3	3
OG0000548	3	3
OG0000549	3	3
OG0000550	3	3
OG0000551	3	3
OG0000552	3	3
OG0000553	3	3
OG0000554	3	3
OG0000555	3	3
OG0000556	3	3
OG0000557	3	3
OG0000558	3	3
OG0000559	3	3
OG0000560	3	3
OG0000561	3	3
OG0000562	3	3
OG0000563	3	3
OG0000564	3	3
OG0000565	3	3
OG0000566	3	3
OG0000567	3	3
OG0000568	3	3
OG0000569	3	3
OG0000570	3	3
OG0000571	3	3
OG0000572	3	3
OG0000573	3	3
OG0000574	3	3
OG0000575	3	3
OG0000576	3	3
OG0000577	3	3
OG0000578	3	3
OG0000579	3	3
OG0000580	3	3
OG0000581	3	3
OG0000582	3	3
OG0000583	3	3
OG0000584	3	3
OG0000585	3	3
OG0000586	3	3
OG0000587	3	3
OG0000588	3	3
OG0000589	3	3
OG0000590	3	3
OG0000591	3	3
OG0000592	3	3
OG0000593	3	3
OG0000594	3	3
OG0000595	3	3
OG0000596	3	3
OG0000597	3	3
OG0000598	3	3
OG0000599	3	3
OG0000600	3	3
OG0000601	3	3
OG0000602	4	4
OG0000603	3	3
OG0000604	3	3
OG0000605	3	3
OG0000606	3	3
OG0000607	3	3
OG0000608	3	3
OG0000609	3	3
OG0000610	3	3
OG0000611	3	3
OG0000612	3	3
OG0000613	3	3
OG0000614	3	3
OG0000615	3	3
OG0000616	3	3
OG0000617	4	4
OG0000618	3	3
OG0000619	3	3
OG0000620	3	3
OG0000621	3	3
OG0000622	3	3
OG0000623	3	3
OG0000624	3	3
OG0000625	3	3
OG0000626	3	3
OG0000627	3	3
OG0000628	3	3
OG0000629	3	3
OG0000630	3	3
OG0000631	3	3
OG0000632	3	3
OG0000633	3	3
OG0000634	3	3
OG0000635	3	3
OG0000636	3	3
OG0000637	3	3
OG0000638	3	3
OG0000639	3	3
OG0000640	3	3
OG0000641	3	3
OG0000642	3	3
OG0000643	3	3
OG0000644	3	3
OG0000645	3	3
OG0000646	3	3
OG0000647	3	3
OG0000648	4	4
OG0000649	3	3
OG0000650	3	3
OG0000651	3	3
OG0000652	3	3
OG0000653	3	3
OG0000654	3	3
OG0000655	3	3
OG0000656	3	3
OG0000657	3	3
OG0000658	3	3
OG0000659	3	3
OG0000660	3	3
OG0000661	3	3
OG0000662	3	3
OG0000663	3	3
OG0000664	3	3
OG0000665	3	3
OG0000666	3	3
OG0000667	3	3
OG0000668	3	3
OG0000669	3	3
OG0000670	3	3
OG0000671	3	3
OG0000672	3	3
OG0000673	3	3
OG0000674	3	3
OG0000675	3	3
OG0000676	3	3
OG0000677	3	3
OG0000678	3	3
OG0000679	3	3
OG0000680	3	3
OG0000681	3	3
OG0000682	3	3
OG0000683	3	3
OG0000684	3	3
OG0000685	3	3
OG0000686	3	3
OG0000687	3	3
OG0000688	3	3
OG0000689	3	3
OG0000690	3	3
OG0000691	3	3
OG0000692	3	3
OG0000693	3	3
OG0000694	3	3
OG0000695	3	3
OG0000696	3	3
OG0000697	3	3
OG0000698	3	3
OG0000699	3	3
OG0000700	3	3
OG0000701	3	3
OG0000702	4	4
OG0000703	3	3
OG0000704	3	3
OG0000705	3	3
OG0000706	3	3
OG0000707	3	3
OG0000708	3	3
OG0000709	3	3
OG0000710	3	3
OG0000711	3	3
OG0000712	3	3
OG0000713	3	3
OG0000714	4	4
OG0000715	3	3
OG0000716	3	3
OG0000717	3	3
OG0000718	3	3
OG0000719	3	3
OG0000720	3	3
OG0000721	3	3
OG0000722	3	3
OG0000723	3	3
OG0000724	3	3
OG0000725	3	3
OG0000726	3	3
OG0000727	3	3
OG0000728	3	3
OG0000729	3	3
OG0000730	3	3
OG0000731	3	3
OG0000732	3	3
OG0000733	3	3
OG0000734	3	3
OG0000735	3	3
OG0000736	3	3
OG0000737	3	3
OG0000738	3	3
OG0000739	3	3
OG0000740	3	3
OG0000741	3	3
OG0000742	3	3
OG0000743	3	3
OG0000744	3	3
OG0000745	3	3
OG0000746	3	3
OG0000747	3	3
OG0000748	3	3
OG0000749	3	3
OG0000750	3	3
OG0000751	3	3
OG0000752	3	3
OG0000753	3	3
OG0000754	3	3
OG0000755	3	3
OG0000756	3	3
OG0000757	3	3
OG0000758	3	3
OG0000759	3	3
OG0000760	3	3
OG0000761	3	3
OG0000762	3	3
OG0000763	3	3
OG0000764	3	3
OG0000765	3	3
OG0000766	3	3
OG0000767	3	3
OG0000768	3	3
OG0000769	5	5
OG0000770	3	3
OG0000771	3	3
